# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.5795051814,2626.0714175659,5.369421218,5.369421218
-3.581397836,2626.0722604182,4.4166389748,4.4166389748
-3.5831593893,2626.0729937402,4.6123458683,4.6123458683
-3.5847542328,2626.0737271541,4.6499662856,4.6499662856
-3.5868139149,2626.0746209106,4.6436542914,4.6436542914
-3.5896130747,2626.0758727967,4.6733543226,4.6733543226
-3.6082708187,2626.0842605101,4.6281710215,4.6281710215
-3.6797257079,2626.1151011897,4.5212164045,4.5212164045
-3.7111202148,2626.1285372293,4.5645407843,4.5645407843
-3.7413163234,2626.1414457131,4.6034285858,4.6034285858
-3.7735165812,2626.1551214162,4.7149532469,4.7149532469
-3.799028532,2626.1661964083,4.5558250504,4.5558250504
-3.8239966894,2626.176960903,4.7800164984,4.7800164984
-3.8561303125,2626.1911076878,4.5540307113,4.5540307113
-3.8940312562,2626.2076694338,4.5679749928,4.5679749928
-4.0669839969,2626.2828187113,4.7165488435,4.7165488435
-4.2118963558,2626.3457634469,4.4412422987,4.4412422987
-4.2438409744,2626.3574669876,3.8433853323,3.8433853323
-4.2583819071,2626.3613103102,3.4510726936,3.4510726936
-4.2764176806,2626.3647032677,3.1974281031,3.1974281031
-4.3139932011,2626.3682197724,2.7588713169,2.7588713169
-4.3811331361,2626.3691637391,2.7254317317,2.7254317317
-4.4463911074,2626.3689675854,2.7069447545,2.7069447545
-4.4556019905,2626.3699177954,2.9225720143,2.9225720143
-4.4636896561,2626.3719539623,3.473196078,3.473196078
-4.4711500763,2626.3754993455,4.5435588015,4.5435588015
-4.4755556207,2626.3795298642,5.5490677182,5.5490677182
-4.4771056514,2626.3846539516,6.1856495419,6.1856495419
-4.4747223189,2626.3897494129,5.4463011296,5.4463011296
-4.4714821724,2626.3926489585,4.7939521644,4.7939521644
-4.4660120707,2626.3955788848,3.8151066997,3.8151066997
-4.4609319315,2626.3974527701,3.3914738807,3.3914738807
-4.4551383484,2626.3988628151,3.0127317585,3.0127317585
-4.4476778709,2626.3998733953,2.8612063877,2.8612063877
-4.4401229559,2626.4002494524,2.7166056665,2.7166056665
-4.4300179791,2626.4003446651,2.709565306,2.709565306
-4.4084669316,2626.4006272589,2.7350102058,2.7350102058
-4.3791858978,2626.4010097682,2.8086273053,2.8086273053
-4.3656527759,2626.4013597289,3.0253635861,3.0253635861
-4.3622053391,2626.4017124709,3.0836553551,3.0836553551
-4.3536363873,2626.403266831,3.9947763085,3.9947763085
-4.3446361966,2626.4065459698,5.2530518003,5.2530518003
-4.3397149472,2626.4094947348,5.7120434183,5.7120434183
-4.3363319871,2626.4133496852,6.3266513637,6.3266513637
-4.3352111996,2626.4170011529,6.7480217932,6.7480217932
-4.3355607981,2626.4192499561,6.6509623823,6.6509623823
-4.3382410231,2626.423244156,5.6005568166,5.6005568166
-4.3421220442,2626.4263992043,5.0336698513,5.0336698513
-4.3529248391,2626.4318640621,3.8873409531,3.8873409531
-4.3637834026,2626.4352965972,3.3082554161,3.3082554161
-4.3738395215,2626.4373170526,3.1176565815,3.1176565815
-4.3888479352,2626.4384775705,2.8348467444,2.8348467444
-4.4067895249,2626.4380013921,2.9028810632,2.9028810632
-4.4262120948,2626.4351777847,3.0557630783,3.0557630783
-4.4456816556,2626.4313903861,3.1940287891,3.1940287891
-4.4674060331,2626.4266565452,3.3473915091,3.3473915091
-4.4939046577,2626.4198188186,3.4154362688,3.4154362688
-4.5205414452,2626.4114895063,4.0587343601,4.0587343601
-4.5298825458,2626.4076949339,4.3381017927,4.3381017927
-4.536516416,2626.4044929423,4.6148832211,4.6148832211
-4.5465522193,2626.3980615244,4.9408065997,4.9408065997
-4.5550962419,2626.389715296,5.8160069667,5.8160069667
-4.5571443181,2626.3803352202,6.4993772916,6.4993772916
-4.553959965,2626.37317873,5.866652134,5.866652134
-4.5453788518,2626.3663854079,4.8748340726,4.8748340726
-4.5199930609,2626.3493436068,4.8854123507,4.8854123507
-4.4888432562,2626.3282837553,4.7018923483,4.7018923483
-4.4783058269,2626.3227893704,4.0674747985,4.0674747985
-4.4676542733,2626.3197956675,3.4852719438,3.4852719438
-4.4566327539,2626.3179058782,3.4454840893,3.4454840893
-4.4346767983,2626.3182507034,2.5522721621,2.5522721621
-4.4230470873,2626.3194714643,2.9225900158,2.9225900158
-4.4076403367,2626.3222235337,3.2826060211,3.2826060211
-4.3837294012,2626.3269347439,3.5015299414,3.5015299414
-4.3608868107,2626.3314075728,3.7399473222,3.7399473222
-4.3439787509,2626.3347631662,3.8195408706,3.8195408706
-4.3245253898,2626.3381600252,3.8438897624,3.8438897624
-4.3043123891,2626.340141147,3.7117710937,3.7117710937
-4.2892586755,2626.3403904561,3.7460538588,3.7460538588
-4.2682496732,2626.3389461525,4.3785173614,4.3785173614
-4.2502601588,2626.3349175264,4.7904189664,4.7904189664
-4.2193852675,2626.3238443526,5.8277758815,5.8277758815
-4.1820066165,2626.3072566952,6.1106625401,6.1106625401
-4.1565466032,2626.2958818491,6.0006262958,6.0006262958
-4.1270081936,2626.2818587253,6.450320107,6.450320107
-4.0719208103,2626.2505219038,6.893823686,6.893823686
-3.9561694665,2626.1716768512,7.1390599957,7.1390599957
-3.9045238947,2626.1336160069,5.9099200318,5.9099200318
-3.9012314798,2626.1239330254,6.2316221649,6.2316221649
-3.9030539025,2626.1128542694,6.6176423941,6.6176423941
-3.9136623839,2626.1013031249,5.4826863846,5.4826863846
-3.929887202,2626.0881516882,5.0995071519,5.0995071519
-3.9405587664,2626.0780346352,5.4048027907,5.4048027907
-3.9448952705,2626.0697052447,6.6270489746,6.6270489746
-3.944423626,2626.0618718168,6.6141942469,6.6141942469
-3.9401424704,2626.0549290766,5.7835897965,5.7835897965
-3.9322246742,2626.048298315,4.8314337981,4.8314337981
-3.9230832675,2626.0433946532,4.0430814907,4.0430814907
-3.9068159517,2626.0384452264,3.247678523,3.247678523
-3.7525798529,2626.0040716884,3.3018099427,3.3018099427
-3.6019138201,2625.9728664874,3.0065753292,3.0065753292
-3.5788692986,2625.9694526605,2.7197259774,2.7197259774
-3.5579159113,2625.9695117562,2.8117805928,2.8117805928
-3.54214655,2625.9734808147,3.5436939974,3.5436939974
-3.5150528148,2625.9894817721,4.9062579454,4.9062579454
-3.5066342151,2625.9987299886,7.4818569433,7.4818569433
-3.5087686114,2626.0049807304,7.1013600991,7.1013600991
-3.5189170265,2626.0112625054,5.0350786472,5.0350786472
-3.543340311,2626.0156151482,2.95381429,2.95381429
-3.687861403,2626.0293294437,2.9006987087,2.9006987087
-3.7696226754,2626.0430735428,2.9225960271,2.9225960271
-3.8364475347,2626.0543979146,2.9253979132,2.9253979132
-3.8654629108,2626.0624610355,3.7493272799,3.7493272799
-3.8803344108,2626.0727857604,5.5771644248,5.5771644248
-3.8843368645,2626.0845730507,5.9609815363,5.9609815363
-3.8757135697,2626.0968625812,5.009787345,5.009787345
-3.8616977413,2626.1076477235,4.7875123346,4.7875123346
-3.8297335593,2626.1310271916,3.9289304641,3.9289304641
-3.8026855076,2626.1348403159,2.932138677,2.932138677
-3.7798852759,2626.1297329331,4.125161749,4.125161749
-3.7451036935,2626.0929354418,5.6948289908,5.6948289908
-3.7276203405,2626.073100291,5.5386487416,5.5386487416
-3.7162649573,2626.0657230353,4.7509659164,4.7509659164
-3.701825539,2626.0598932515,3.3855457825,3.3855457825
-3.6889778695,2626.057084067,2.8938992087,2.8938992087
-3.627880424,2626.0508598657,3.0340177648,3.0340177648
-3.6012683908,2626.049215885,3.4542924384,3.4542924384
-3.5824189989,2626.0526108621,5.4322080116,5.4322080116
-3.5748086875,2626.057416079,7.2968151038,7.2968151038
-3.5720813198,2626.0643822166,8.288172265,8.288172265
-3.5760517497,2626.0695727109,6.8232095766,6.8232095766
